# size_bytes, sequential_ns, random_ns, random_index_ns
600064, 0.17, 10.58, 2.51
601088, 0.16, 10.73, 2.55
602112, 0.22, 11.49, 4.82
603136, 0.27, 14.32, 3.47
604160, 0.16, 9.62, 1.76
605184, 0.17, 9.93, 3.00
606208, 0.16, 10.07, 1.63
607232, 0.24, 9.62, 1.92
608256, 0.16, 9.61, 1.75
609280, 0.16, 9.68, 1.63
610304, 0.16, 9.56, 1.85
611328, 0.19, 9.90, 1.59
612352, 0.16, 9.67, 1.77
613376, 0.16, 9.61, 1.67
614400, 0.16, 9.71, 1.65
615424, 0.16, 9.55, 6.41
616448, 0.18, 9.56, 1.60
617472, 0.16, 9.56, 1.98
618496, 0.16, 9.69, 1.66
619520, 0.17, 9.60, 2.12
620544, 0.16, 9.96, 1.99
621568, 0.16, 10.62, 4.12
622592, 0.29, 12.24, 1.59
623616, 0.23, 9.80, 1.76
624640, 0.16, 9.93, 3.05
625664, 0.21, 9.83, 1.70
626688, 0.16, 9.54, 1.70
627712, 0.17, 9.69, 1.61
628736, 0.16, 9.78, 1.72
629760, 0.16, 9.54, 1.89
630784, 0.21, 9.58, 1.67
631808, 0.22, 9.74, 1.84
632832, 0.16, 9.57, 1.64
633856, 0.16, 9.60, 1.64
634880, 0.16, 9.52, 2.23
635904, 0.17, 11.02, 2.89
636928, 0.18, 11.84, 2.39
637952, 0.16, 9.47, 1.63
638976, 0.16, 9.65, 1.61
640000, 0.17, 9.61, 1.98
641024, 0.16, 9.65, 1.82
642048, 0.16, 9.60, 1.84
643072, 0.16, 9.73, 1.64
644096, 0.17, 9.57, 1.67
645120, 0.16, 9.63, 1.62
646144, 0.16, 9.67, 1.72
647168, 0.16, 9.64, 1.66
648192, 0.17, 10.77, 2.24
649216, 0.23, 10.62, 2.97
650240, 0.17, 12.14, 2.70
651264, 0.17, 10.81, 2.67
652288, 0.27, 11.11, 2.37
653312, 0.18, 9.93, 2.42
654336, 0.19, 10.37, 2.70
655360, 0.18, 10.18, 1.85
656384, 0.16, 9.94, 1.88
657408, 0.16, 10.73, 2.92
658432, 0.16, 12.72, 1.75
659456, 0.16, 9.50, 1.63
660480, 0.18, 10.01, 1.63
661504, 0.16, 9.58, 1.79
662528, 0.16, 9.58, 1.73
663552, 0.16, 9.55, 1.61
664576, 0.45, 9.60, 1.88
665600, 0.17, 9.76, 2.34
666624, 0.16, 10.11, 2.57
667648, 0.17, 10.39, 2.67
668672, 0.27, 10.28, 2.32
